3 * 2 | (('*', (0, 4)), 3, 2) | (('*', 6.0, (0, 4)), (3.0,), (2.0,)) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 110.0, u'$a': 11.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 48.0, u'$a': 12.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 66.0, u'$a': 11.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 112.0, u'$a': 14.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 40.0, u'$a': 10.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 48.0, u'$a': 12.0}
9 | 9 | (9.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 78.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 78.0, u'$a': 13.0}
12 | 12 | (12.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 48.0, u'$a': 12.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 48.0, u'$a': 12.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 72.0, u'$a': 12.0}
3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 84.0, u'$a': 14.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 56.0, u'$a': 14.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 100.0, u'$a': 10.0}
12 | 12 | (12.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 80.0, u'$a': 10.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 44.0, u'$a': 11.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 96.0, u'$a': 12.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 130.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 78.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 78.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 84.0, u'$a': 14.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 130.0, u'$a': 13.0}
10 | 10 | (10.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 48.0, u'$a': 12.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 48.0, u'$a': 12.0}
3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 48.0, u'$a': 12.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 130.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 130.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 100.0, u'$a': 10.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 2.0, u'$b': 52.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 78.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 110.0, u'$a': 11.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 100.0, u'$a': 10.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 3.0, u'$b': 84.0, u'$a': 14.0}
3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 130.0, u'$a': 13.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 5.0, u'$b': 140.0, u'$a': 14.0}
6 | 6 | (6.0,) | 3*2 | (('*', (0, 2)), 3, 2) | (('*', 6.0, (0, 2)), (3.0,), (2.0,)) | {u'$n': 4.0, u'$b': 88.0, u'$a': 11.0}
